problem,solution
🍎 + 🍎 + 🍎 + 🍎 = 16,🍎 = 4
🌟 + 🌟 + 🌟 = 6,🌟 = 2
🍪 + 🍪 = 20,🍪 = 10
🏀 + 🏀 = 2,🏀 = 1
🚗 + 🚗 + 🚗 = 12,🚗 = 4
🍪 + 🍪 = 18,🍪 = 9
🌟 + 🌟 + 🌟 + 🌟 + 🌟 = 20,🌟 = 4
🐱 + 🐱 + 🐱 + 🐱 = 4,🐱 = 1
🐶 + 🐶 + 🐶 + 🐶 + 🐶 = 30,🐶 = 6
🍌 + 🍌 + 🍌 = 12,🍌 = 4
🎈 + 🎈 = 4,🎈 = 2
🏀 + 🏀 = 12,🏀 = 6
🎈 + 🎈 + 🎈 + 🎈 = 4,🎈 = 1
🐱 + 🐱 = 14,🐱 = 7
🚗 + 🚗 + 🚗 + 🚗 = 40,🚗 = 10
🎈 + 🎈 + 🎈 = 6,🎈 = 2
🍎 + 🍎 + 🍎 = 15,🍎 = 5
🚗 + 🚗 + 🚗 = 6,🚗 = 2
🏀 + 🏀 + 🏀 + 🏀 = 32,🏀 = 8
🎈 + 🎈 + 🎈 = 18,🎈 = 6
🎈 + 🎈 + 🎈 = 15,🎈 = 5
🚗 + 🚗 + 🚗 = 27,🚗 = 9
🌟 + 🌟 + 🌟 = 24,🌟 = 8
🏀 + 🏀 + 🏀 + 🏀 = 36,🏀 = 9
🌟 + 🌟 + 🌟 + 🌟 = 4,🌟 = 1
🌟 + 🌟 = 12,🌟 = 6
🏀 + 🏀 + 🏀 + 🏀 = 8,🏀 = 2
🌟 + 🌟 + 🌟 + 🌟 = 16,🌟 = 4
🐱 + 🐱 + 🐱 + 🐱 + 🐱 = 40,🐱 = 8
🐶 + 🐶 + 🐶 + 🐶 = 12,🐶 = 3
